,0
12,"Safe injection sites are spaces where people who inject drugs can do so under the supervision of staff at the sites who attempt to revive them if they overdose. Public officials in Philadelphia, Pennsylvania, have proposed the sites as a means to reduce opioid overdose deaths in the city, a policy proposal that has been politically and legally contested. This article uses the Narrative Politics model to elucidate the concerns, values, and aspirations of the competing narratives in the public discourse over safe injection sites in Philadelphia. Despite the aspirations expressed within the Harm Reduction narrative to open such a site, opposition from the Nimby (not in my backyard) narrative has, at the time of this research, successfully precluded such a step. Other narratives in the discourse include the Abstinence narrative opposing safe injection sites and the Social Justice narrative opposed to incarceration but also hesitant to wholeheartedly endorse the Harm Reduction narrative for its delayed advocacy of compassionate treatment of people who use drugs now that the face of the person who uses opioids is a white one. In addition to juxtaposing competing narratives against one another and considering their alignments, disagreements, and interactions, the authors consider absences and shared presuppositions. The social construction of the purported drug addict varies in some ways between and among the prevailing narratives; in other ways, all the narratives problematize addiction as an affliction that justifies techniques of discipline aimed at caring for and controlling the population.
"
13,"Historically, overpolicing of some racialized and Indigenous groups in Canada has resulted in unequal application of drug laws contributing to disproportionate rates of charges and convictions in these populations. Criminal records severely and negatively impact an individuals life and can perpetuate cycles of poverty and socioeconomic disadvantage. On October 17, 2018, Canada legalized cannabis production, distribution, sale, and possession for non-medical purposes. Advocates of criminal justice reform have raised concerns that Indigenous and racialized people may not equitably benefit from legalization due to unequal police surveillance and drug enforcement. These groups are among priority populations for research on cannabis and mental health, but their views on cannabis regulation have been largely absent from research and policy-making. To address this gap, we asked self-identified members of these communities about their lived experiences and perspectives on cannabis legalization in Canada. Between September 2018 and July 2019, we conducted semistructured interviews and focus groups with 37 individuals in Québec, Ontario, Alberta and British Columbia. During this phase of early cannabis legalization, participants responded to questions about anticipated public health risks and benefits of legalization, how their jurisdiction is responding to legalization, and what community resources would be needed to address legalization impacts. We conducted a thematic analysis and identified five major themes in the data related to race and early cannabis legalization: overpolicing of racialized communities, severity of penalties in new cannabis legislation, increased police powers, and underrepresentation of racialized groups in the legal cannabis market and in cannabis research. Participants discussed opportunities to support cannabis justice, including establishing priority licenses, issuing pardons or expunging criminal records, and reinvesting cannabis revenue into impacted communities. This work begins to address the paucity of Indigenous and racialized voices in cannabis research and identifies potential solutions to injustices of cannabis prohibition.
"
14,"We study the implications of mixing economics and personal finance standards in a high school course. Using administrative, survey, and testing data on college students, we find that learning personal finance can help the learning of economics for some students but hurt it for others. We estimate that students who received more instruction in economics score almost 5 percentage points higher on our economics test. Furthermore, we estimate the effect of being assigned a certification test in personal finance as a part of this course. Taking the personal finance certification test increases economics test scores by 2.5 percentage points for the average student, but this effect is not uniform across students. The certification test significantly increases the economics scores of students with low SAT scores, while decreasing the economics scores of those with high SAT scores. Our results emphasize the potentially idiosyncratic effects of mixing economics with personal finance.
"
15,"Corporate Social Responsibility (CSR), the idea that business stewards have a broader range of societal obligations than maximizing shareholder value, is a mainstream theme in contemporary management research, education, and practice. Carroll points to one of its controversial aspects when he describes a clash between management scholars (who are generally pro-CSR) and their neoclassical economic contrarians. This has become an increasingly one-sided conflict with the pro-CSR side prevailing in both business and academia. CSR proponents have generally viewed Milton Friedman as an opponent of CSR. However, we argue that Friedmans purported opposition to CSR is something of a caricature. We reveal that Friedman was concerned that his advocacy for free market operation would promote pro-social outcomes. Indeed, through his emphasis on creating value for consumers, being good stewards of scarce resources, and avoiding rent-seekings inefficiencies, Friedman has more in common with CSR proponents than is sometimes acknowledged.
"
16,"Economic education has emerged as an important subfield in economics over the last several decades. This paper explores the author gender breakdown found in economic education journals compared to top-tier, general-interest economics journals and some field journals. We find that from 2009 to 2019, the percentage of articles published by women in general interest and selected field journals has remained relatively constant, while female publications in economic education journals have grown to match the percentage of women in the discipline.
"
17,"In this short paper, we share our experiences serving as editors, associate editors, and on editorial boards over the past two decades. Our goal is to provide insights regarding successful publishing from the perspective of those reviewing manuscripts. Our suggestions and tips are by no means comprehensive or definitive and other editors may not agree with our advice. However, we hope these tips are useful guidance toward navigating the often challenging and disheartening journey of moving ones research through the publication process.
"
18,"This study examines the structure and formula for revenue allocation in Nigeria which has been fraught with challenges, proffers solution, and highlights its implications for sustainable national development. The work uses the methodology of Group Unit Root Test, auto regressive distributed lag (ARDL) Bounds Testing and Cointegrating Long Run tests for robust policy recommendations. Using the Gross Domestic Product as the dependent variable and revenue allocation to the three levels of government, and oil revenue as the independent variables, the results from the study show that revenue allocations and the other variables have significant relationship with economic growth in Nigeria. Based on our findings, the study recommends among others that the current revenue allocation formula should be reviewed to embrace autonomy in its entirety to achieve national goals and objectives. Various levels of government should be adequately funded to enable it carry out its expenditure responsibilities to accelerate grass root development.
"
19,"Past fears that robots and computers would cause large increases in secular unemployment have proven unfounded. Some well-respected economists and other technology and labor analysts are worried again. Advances in algorithms have proven impressive, but experts on the mind and neuroscience remain skeptical about the extent to which robots and computers will be able to duplicate or surpass humans in areas of insight, judgment, and creativity. Certainly, for the foreseeable future, robots and computers will be more complements to human labor, than they will be substitutes for human labor, enhancing us more than replacing us. If we use the precautionary principle to justify heavy regulation of robots and computers, the benefits of enhancement will be fewer and will be delayed.
"
20,"This study examined how weekly, externally set deadlines affected the completion of adaptive learning assignments and student outcomes in an introductory macroeconomics course. We imposed different deadline schemes for the same adaptive learning assignments in two sections of the course. One section was given flexible deadlines and the other section was given rigid weekly deadlines. We found that weekly deadlines did not affect assignment completions or total points earned on unit exams. We investigated how the adaptive learning assignments affected student retention of material. A measure of staying on pace in the course provided a positive effect on the comprehensive final exam for students with weekly deadlines. The weekly deadlines may not have influenced assignment completions but consistent engagement with the flow of topics through the course increased student knowledge retention. Regardless of deadline type, completions of adaptive learning assignments positively affected outcomes on the unit exams and final exam.
"
21,"Keynes argued that the central bank can influence the long-term interest rate on government bonds and the shape of the yield curve mainly through the short-term interest rate. Several recent empirical studies that examine the dynamics of government bond yields not only substantiate Keyness view that the long-term interest rate responds markedly to the short-term interest rate but also have relevance for macroeconomic theory and policy. This article relates Keyness discussions of money, the state theory of money, financial markets, investors expectations, uncertainty, and liquidity preference to the dynamics of government bond yields for countries with monetary sovereignty. Investors psychology, herding behavior in financial markets, and uncertainty about the future reinforce the effects of the short-term interest rate and the central banks monetary policy actions on the long-term interest rate.
"
22,"In this short paper, we share our experiences serving as editors, associate editors, and on editorial boards over the past two decades. Our goal is to provide insights regarding successful publishing from the perspective of those reviewing manuscripts. Our suggestions and tips are by no means comprehensive or definitive and other editors may not agree with our advice. However, we hope these tips are useful guidance toward navigating the often challenging and disheartening journey of moving ones research through the publication process.
"
23,"Funds-based mechanisms for urban adaptation finance are still underexplored. Addressing this gap, as well as the need for greater learning about how urban adaptation finance operates, this paper proposes a conceptual framework for such analysis that considers complexity, uncertainty, transformation and vulnerability. We analyse 39 urban projects financed by Climate Adaptation Funds (CAFs) using a qualitative approach. The findings indicate the ongoing dominance of national governments at all stages of the funding cycle, and of a focus on hard adaptation measures, but also a diverse set of stakeholder relationships involved in CAF finance which offers potential for greater multi-stakeholder and multisectoral management of complexity. Few projects, however, address the management of uncertainty. While upscaling from projects is a common preoccupation, catalysing effects across sectors are limited, and transformative mechanisms for addressing vulnerability are limited to consultation with vulnerable groups. Innovations are highlighted which merit further exploration through case study analysis.
"
24,"Despite varying conceptions of what co-production entails, there is a growing consensus in research, practice and public policy discourse that co-production is a preferred strategy for leveraging resources to deliver basic infrastructure services in low-income settlements. Using largely qualitative data, this paper explores the adaption of co-production in the low-income settlement of Hanna Nassif in Dar es Salaam, implemented 20 years ago by state actors, international agencies and grassroots actors, with attention to basic infrastructure and local employment. The findings reveal that co-production engendered partnerships and platforms and transformed sociocultural norms and values that made inroads toward urban equality in the settlement, although it failed to address inequalities among the partners, or to be replicated subsequently. The paper argues that meaningful co-production of basic infrastructure services in low-income settlements of the global South requires a focus on the context-specific pro-poor concerns and priorities.
"
25,"This paper reflects on the ethics of research and knowledge co-production aimed at addressing urban inequality. It draws on work within the Knowledge in Action for Urban Equality (KNOW) programme, which aimed to co-produce knowledge to activate transformation. We employ a lens of feminist care ethics to examine ethical challenges in research partnerships, which derive from interrelated layers of power asymmetry and inequality. We focus on ethical dilemmas that emerged during the planning stage of research work led by the NGO Centre for Community Initiatives (CCI), Tanzania, in collaboration with University College Londons Institute of Global Prosperity (IGP). We argue that contextualizing the value of knowledge co-production in generating transformation in the long term reveals a necessity for simultaneously addressing the immediate needs of intersectionally marginalized research participants. We suggest that ethical awareness of both long- and short-term modes of caring for could better support initiatives for addressing urban inequalities in context.
"
26,"Hygiene plays a key role in tipping the balance towards reduction of diarrhoeal and other infectious diseases. Yet it has often been overlooked, positioned as a supporting rider of water supply and sanitation services, or narrowly understood as handwashing. By focusing on handwashing infrastructure as proposed for the monitoring of Sustainable Development Goal (SDG) 6, development actors might miss the opportunity of capturing hygiene practices that are socially embedded and can act as a catalyst for change and risk reduction. We develop this argument by presenting an in-depth examination of hygiene practices in a low-income neighbourhood of Lilongwe, Malawi. Despite the high poverty levels and the constant water shortages in the area, a number of water-intensive hygiene practices are consistently carried out, proving that hygiene is central to residents everyday lives. Development projects should start by identifying these practices and by reflecting on the extent that these already work or can be made to work for reducing health-related risks.
"
27,"As the number of confirmed COVID-19 cases nears 27 million, there is a rush to answer (what next) and a rush to act (to solve the immediate problems of COVID-19). This paper discusses, with a specific focus on urban areas in the global South, what is missing to date from this response. That includes an identification of things that there are too much of, things that are not being done at all, and things that are unbalanced. There has been an enormous upsurge of academic research papers and opinions on COVID-19. Technological and scientific solutions tend to overshadow other approaches, even if people know that social is important. Based on our analysis to date, our primary concern is that there is too little understanding about the importance of building dialogue, exploring collaboration and co-producing solutions. There is too little understanding as to why social and cultural responses are important, and how the recognition that they are important can be actioned.
"
28,"How do ordinary citizens, activists and urban practitioners learn to become agents of change for a socially just habitat? The paper explores this question through the experiences of eight grassroots schools of popular urbanism working under the umbrella of the Habitat International Coalition (HIC) in Latin America. Building on a process of self-documentation and collective pedagogic reflection driven by the protagonists of these schools, the analysis explores the core pedagogic practices identified across the schools to enact popular urbanism as a collective and intentional praxis: to weave, sentipensar, mobilize, reverberate and emancipate. We argue that, put in motion, these pedagogic practices transgress the rules and boundaries of the formal classroom, taking participants to and through other sites and modes of learning that host significant potential to stimulate collectivizing and alternative ways of seeking change towards urban equality.
"
