,0
10,"Environmental pollution and changing climatic conditions are likely to damage 
biodiversity not only on organismal level but on molecular level as well. The 
aim of the present study was to find the concentration of heavy metals in soil, 
water, feed, feathers, and blood and association of heavy metals with DNA damage 
of P. cristatus. The results showed that lead (Pb) was significantly (P < 0.01) 
higher in soil and cadmium (Cd) was significantly (P < 0.01) higher in soil and 
water. Chromium (Cr), zinc (Zn), nickel (Ni), and cobalt (Co) were significant 
(P < 0.01) in feed. Manganese (Mn) was significantly (P < 0.01) higher in feed 
and soil (surface). In addition, Pb and Cd concentrations were significant 
(P < 0.01) in feathers while Cr and Zn concentrations were significantly 
(P < 0.01) higher in feces. Nickel was significantly (P < 0.01) higher in 
feathers and eggshell while Mn and Co concentrations were significantly 
(P < 0.01) higher in blood and feces, respectively. Furthermore, significant 
positive correlation between Pb (rs = 0.75; P < 0.05) and Cd (rs = 0.67; 
P < 0.05) concentrations in blood with tail DNA was found. It was concluded that 
heavy metals exist in the soil, water, feathers, and blood and have association 
with DNA damage of P. cristatus."
11,"Pancreatic ductal adenocarcinoma (PDAC) is a type of cancer with limited 
treatment options and terrible long-term survival, and it is expected to become 
the second leading cause of cancer-related death by 2030. One reason why this 
cancer is so aggressive and resistant is the formation of dense stroma that 
surrounds the neoplastic epithelium, which promotes tumor progression, invasion, 
metastasis, and resistance. The three major components of PDAC stroma are 
extracellular matrix (ECM), cancer-associated fibroblasts (CAFs), and 
vasculature. The dense ECM acts as a natural physical barrier, impeding drug 
penetration to PDAC tumor cells. Consequently, the method that combines 
stroma-targeting with anticancer therapy may be a viable alternative for 
increasing drug penetration. Additionally, blood vessels are key entities of the 
tumor stroma, serving as a pathway for nutrition as well as the only way for 
chemical medicines and immune cells to act. Finally, PDAC CAFs and tumor cells 
have crosstalk effects in the tumor microenvironment, where they are responsible 
for enhanced matrix deposition. In this review, we aim to provide an overview of 
our current comprehension of the three key components of PDAC stroma and the new 
promising therapeutic targets for PDAC."
12,"PURPOSE: Ureaplasma species are associated with urogenital infections, 
infertility and adverse pregnancy outcomes as well as neonatal infections. 
Involvement of the central nervous system in adults is extremely rare. We report 
an unusual case of a brain abscess secondary to otitis media with Ureaplasma 
parvum in a patient with granulomatosis with polyangiitis (GPA).
METHODS: Imaging and laboratory findings, treatment decisions, and outcome of 
this case are explicated.
RESULTS: A young adult with GPA presented with progredient earache after 
ambulant diagnosis of otitis media. Despite different courses of broad-spectrum 
antibiotic therapy, she developed meningoencephalitis due to mastoiditis 
following temporal abscess formation. Mastoidectomy and neurosurgical abscess 
removal were performed. Standard cultures of cerebrospinal fluid, blood and 
intracranial abscess material, as well as polymerase chain reaction (PCR) for 
common bacterial and viral meningitis pathogens remained negative. Only 
eubacterial PCR of intracranial abscess material returned positive for 
Ureaplasma parvum. The patient finally improved under antibiotic therapy with 
moxifloxacin and doxycycline.
CONCLUSION: Ureaplasma species are rare causative pathogens in immunocompromised 
patients. They should be considered in patients with humoral immunodeficiencies 
with culture-negative infections failing standard therapy. Eubacterial PCR 
should be performed in early states of infection in these patients for immediate 
diagnosis and initiation of appropriate treatment to prevent adverse outcomes."
13,"Preeclampsia (PE) is one of the most dangerous complications of pregnancy, 
characterized by hypertension, proteinuria, and symptoms of multiple organ 
failure, which are detected de novo after 20 weeks of pregnancy. The 
renin-angiotensin-aldosterone system (RAAS) is one of the first to recognize 
pregnancy and is an important regulator of blood pressure. The placenta has its 
own RAAS, the role of which in the development of PE is not fully understood. In 
this work, for the first time, we characterized the expression of RAAS 
components and miRNAs controlling it in the placenta at various times of PE 
manifestation. The data obtained will allow the development of a new strategy in 
the future for the search for therapeutic agents for patients suffering from PE 
and cardiovascular diseases."
14,"To investigate the relationship between the correlation ratios of selenium (Se) 
and other elements and mild cognitive impairment (MCI) among older adults. A 
total of 1000 individuals participated in our research analysis. The 
concentrations of elements in whole blood were determined using inductively 
coupled plasma mass spectrometry to reflect their exposure levels. Participants' 
cognitive function was assessed using the Mini-Mental State Examination. 
Logistic regression analysis was used to evaluate the relationship between 
elemental ratios and MCI. Se concentration was positively correlated with red 
blood cell count (r = 0.219, p < 0.001), haemoglobin level (r = 0.355, 
p < 0.001), haematocrit (r = 0.215, p < 0.001), mean corpuscular haemoglobin 
(r = 0.294, p < 0.001) and mean corpuscular haemoglobin concentration 
(r = 0.428, p < 0.001) and negatively correlated with red cell volume 
distribution width-standard deviation (r = -0.232, p < 0.001) and platelet 
distribution width (r = -0.382, p < 0.001). Compared with the normal group, the 
ratios of Se/vanadium (V), Se/lead (Pb) and Se/cadmium (Cd) in the whole blood 
of the MCI group were significantly lower (all p < 0.001), while the ratios of 
manganese (Mn)/Se and iron (Fe)/Se were higher (all p < 0.001). The increase in 
the ratios of Se/V, Se/Pb and Se/Cd is related to a decreased risk of MCI among 
older adults; contrarily, an increase in the ratios of Mn/Se and Fe/Se may be a 
risk factor for MCI."
15,"Whole exome sequencing (WES) has been used to detect rare causative variants in 
neurological diseases. However, the efficacy of WES in genetic diagnosis of 
clinically heterogeneous familial stroke remains inconclusive. We prospectively 
searched for disease-causing variants in unrelated probands with defined 
familial stroke by candidate gene/hotspot screening and/or WES, depending on 
stroke subtypes and neuroimaging features at a referral center. The clinical 
significance of each variant was determined according to the American College of 
Medical Genetics guidelines. Among 161 probands (mean age at onset 53.2 ± 13.7 
years; male 63.4%), 33 participants (20.5%) had been identified with 19 
pathogenic/likely pathogenic variants (PVs; WES applied 152/161 = 94.4%). Across 
subtypes, the highest hit rate (HR) was intracerebral hemorrhage (ICH, 
7/18 = 38.9%), particularly with the etiological subtype of structural 
vasculopathy (4/4 = 100%, PVs in ENG, KRIT1, PKD1, RNF213); followed by ischemic 
small vessel disease (SVD, 15/48 = 31.3%; PVs in NOTCH3, HTRA1, HBB). In 
contrast, large artery atherosclerosis (LAA, 4/44 = 9.1%) and cardioembolism 
(0/11 = 0%) had the lowest HR. NOTCH3 was the most common causative gene 
(16/161 = 9.9%), presenting with multiple subtypes of SVD (n = 13), ICH (n = 2), 
or LAA (n = 1). Importantly, we disclosed two previously unreported PVs, KRIT1 
p.E379* in a familial cerebral cavernous malformation, and F2 p.F382L in a 
familial cerebral venous sinus thrombosis. The contribution of monogenic 
etiologies was particularly high in familial ICH and SVD subtypes in our 
Taiwanese cohort. Utilizing subtype-guided hotspot screening and/or subsequent 
WES, we unraveled monogenic causes in 20.5% familial stroke probands, including 
1.2% novel PVs. Genetic diagnosis may enable early diagnosis, management and 
lifestyle modification. Among 161 familial stroke probands, 33 (20.5%) had been 
identified pathogenic or likely pathogenic monogenic variants related to stroke. 
The positive hit rate among all subtypes was high in intracerebral hemorrhage 
(ICH) and ischemic small vessel disease (SVD). Notably, two previously 
unreported variants, KRIT1 p.E379* in a familial cerebral cavernous malformation 
and F2 p.F382L in familial cerebral venous sinus thrombosis, were disclosed. CVT 
cerebral venous thrombosis; HTN Hypertensive subtype; LAA large artery 
atherosclerosis; SV structural vasculopathy; U Undetermined."
16,"PURPOSE OF REVIEW: The omega-3 fatty acids (n3-FAs), eicosapentaenoic acid (EPA) 
and docosahexaenoic acid (DHA), have recently undergone testing for their 
ability to reduce residual cardiovascular (CV) risk among statin-treated 
subjects. The outcome trials have yielded highly inconsistent results, perhaps 
attributable to variations in dosage, formulation, and composition. In 
particular, CV trials using icosapent ethyl (IPE), a highly purified ethyl ester 
of EPA, reproducibly reduced CV events and progression of atherosclerosis 
compared with mixed EPA/DHA treatments. This review summarizes the mechanistic 
evidence for differences among n3-FAs on the development and manifestations of 
atherothrombotic disease.
RECENT FINDINGS: Large randomized clinical trials with n3-FAs have produced 
discordant outcomes despite similar patient profiles, doses, and triglyceride 
(TG)-lowering effects. A large, randomized trial with IPE, a prescription EPA 
only formulation, showed robust reduction in CV events in statin treated 
patients in a manner proportional to achieved blood EPA concentrations. Multiple 
trials using mixed EPA/DHA formulations have not shown such benefits, despite 
similar TG lowering. These inconsistencies have inspired investigations into 
mechanistic differences among n3-FAs, as EPA and DHA have distinct membrane 
interactions, metabolic products, effects on cholesterol efflux, antioxidant 
properties, and tissue distribution. EPA maintains normal membrane cholesterol 
distribution, enhances endothelial function, and in combination with statins 
improves features implicated in plaque stability and reduces lipid content of 
plaques. Insights into reductions in residual CV risk have emerged from clinical 
trials using different formulations of n3-FAs. Among high-risk patients on 
contemporary care, mixed n3-FA formulations showed no reduction in CV events. 
The distinct benefits of IPE in multiple trials may arise from pleiotropic 
actions that correlate with on-treatment EPA levels beyond TG-lowering. These 
effects include altered platelet function, inflammation, cholesterol 
distribution, and endothelial dysfunction. Elucidating such mechanisms of 
vascular protection for EPA may lead to new interventions for atherosclerosis, a 
disease that continues to expand worldwide."
17,"BACKGROUND: Kaposiform hemangioendothelioma (KHE) is a rare locally aggressive 
vascular neoplasm that occurs mainly in the pediatric population. KHE usually 
originates just underneath the skin and affects deeper tissues through 
infiltrative growth; however, visceral tissue involvement is quite rare.
CASE PRESENTATION: An 8-month-old girl with jaundice and acholic stool was 
referred to our hospital for further evaluation of a hepatoduodenal ligament 
tumor. A blood examination revealed high bilirubin and liver enzyme levels, but 
no signs of coagulopathy. The first attempt at a diagnostic surgical procedure 
did not provide sufficient diagnostic information. However, the 
histopathological diagnosis of the cystic duct excised in the second surgery 
indicated KHE. Therefore, in our case, KHE was considered a cause of obstructive 
jaundice. Sirolimus (rapamycin) was initiated, and the patient was discharged 
7 months after admission.
CONCLUSIONS: In cases of atypical hypervascular lesions in the abdominal cavity, 
especially in the pediatric population, it is important to consider the 
possibility of KHE, and surgical intervention with proper strategies is required 
for diagnosis, followed sequentially by promising treatments."
18,"Many modifiable and non-modifiable risk factors have been associated with 
hypertension. However, current screening programs are still failing in 
identifying individuals at higher risk of hypertension. Given the major impact 
of high blood pressure on cardiovascular events and mortality, there is an 
urgent need to find new strategies to improve hypertension detection. We aimed 
to explore whether a machine learning (ML) algorithm can help identifying 
individuals predictors of hypertension. We analysed the data set generated by 
the questionnaires administered during the World Hypertension Day from 2015 to 
2019. A total of 20206 individuals have been included for analysis. We tested 
five ML algorithms, exploiting different balancing techniques. Moreover, we 
computed the performance of the medical protocol currently adopted in the 
screening programs. Results show that a gain of sensitivity reflects in a loss 
of specificity, bringing to a scenario where there is not an algorithm and a 
configuration which properly outperforms against the others. However, Random 
Forest provides interesting performances (0.818 sensitivity - 0.629 specificity) 
compared with medical protocols (0.906 sensitivity - 0.230 specificity). 
Detection of hypertension at a population level still remains challenging and a 
machine learning approach could help in making screening programs more precise 
and cost effective, when based on accurate data collection. More studies are 
needed to identify new features to be acquired and to further improve the 
performances of ML models."
19,"PURPOSE: Intracranial arteriovenous-malformation (AVM) is a relatively rare 
condition in pediatrics, yet is a major cause of spontaneous intracranial 
hemorrhage with a risk of fatal hemorrhage reported to be between 4 and 29%. 
Little is known about vessel morphology and optimum treatment modalities 
including multimodality combination therapy and prognosis in children.
METHODS: A retrospective review of all children presenting to our institution 
from 2006 to 2020 that had an AVM was undertaken.
RESULTS: A total of 50 children were identified with median age of 11 (range 
1-16) years. The mean follow-up was 7.6 years. Forty-one children presented as 
an emergency and of those, 40 had hemorrhage identified on initial brain 
imaging. The average nidus size was 25 mm, drainage was superficial in 51% of 
cases, and located in eloquent cortex in 56%. The supplemental Spetzler-Martin 
grading indicated 78% (39/50) were grade 4 and above (moderate to high risk). 
Primary treatment modalities included embolization in 50% (25) or SRS in 30% 
(15) and surgery in 20% (10).The AVM was obliterated on follow-up DSA in 66% 
children. Three children had post-treatment hemorrhage, two related to 
embolization and one the day following SRS, giving a re-bleed rate of 6%. The 
GOSE was available for 32 children at long term follow and 94% had a good 
outcome (GOSE 5-8). Two children died due to acute hemorrhage (4%).
CONCLUSION: The majority of children with AVM present with hemorrhage. The 
rebleed rate during definitive treatment is low at 6% over the study period. The 
selective use of the 3 modalities of treatment has significantly reduced 
mortality and severe disability."
20,"Blood flow restriction pressures are typically set as a percentage of the 
arterial occlusion pressure. For those who do not have the ability to measure 
the arterial occlusion pressure, estimation equations are available. However, 
notable considerations are needed when estimating pressure with a narrow cuff 
(5 cm) in the lower body. A previously published equation in this journal was 
developed but was created only using 55% of the sample because the arterial 
occlusion of the others could not be obtained within the manufacturer's pressure 
limit. The purpose of this article was twofold: (1) to investigate how previous 
studies have implemented the equation and (2) to highlight potential concerns of 
using this equation. Two databases were used to locate articles that used the 
equation from Loenneke et al. (2015). We found that this equation had been cited 
10 times to estimate arterial occlusion pressure with some notable concerns. 
Some did not use a 5 cm wide cuff, while others used it for participants who had 
arterial occlusion pressures exceeding 300 mmHg. To highlight the latter, we 
also applied the Loenneke et al. (2015) lower body equation to participants with 
arterial occlusion pressures known to exceed 300 mmHg to demonstrate potential 
concerns. This retrospective analysis found that 52% of the sample with known 
pressures over 300 mmHg (40 out of 77) would be estimated below 300 mmHg. This 
paper highlighted important considerations for those trying to estimate arterial 
occlusion pressure in the lower body with a narrow cuff (5 cm)."
