,0
23,"Polarization often happens asymmetrically. One political actor radicalizes, and the results reverberate through the political system. This is how the deep divisions in contemporary American politics arose: the Republican Party radicalized. Republican officeholders began to use extreme legislative tactics. Republican voters became animated by contempt for their political rivals and by the defense of their own social superiority. The party as a whole launched a wide-ranging campaign of voter suppression and its members endorsed violence in the face of electoral defeat. This paper is about how such asymmetric polarization affects everyone elses obligations. My core claim is that two kinds of relationship  civic friendship and non-subordination  underpin critical democratic norms. Republican misbehavior has severed cross-partisan civic friendships. Their authoritarianism forfeits their claim to non-subordination. The former means that non-Republicans need not justify policy on public grounds. The latter undercuts Republicansclaim to enjoy minority vetoes when out of power and it gives their rivals reason to disobey the laws that Republicans make when they are in power. More generally, when one political actor contravenes the proper norms of democratic politics, their opposition is not bound by those norms.
"
24,"Concern for corporate influence on democratic decisions has mostly focused on campaign funding and access to legislators. While these are certainly worrisome, corporations have another tool to influence decisions, which they are increasingly using. They can threaten to move their operations or cancel expansion plans in a municipality unless its public officials pass (or kill) certain policies. In one sense, this is business as usual. Companies have the right to decide where to operate, and it is important for officials to consider how policy will impact local businesses that provide jobs and tax revenue. On the other hand, companies can use these threats to get their way on any policy, whether or not it impacts them. How do we tell when this kind of corporate action is illegitimate? We argue that such actions are illegitimate when they violate democratic norms of reason-giving, which occurs when companies offer the public created rather than natural reasons for their proposed policy.
"
25,"The pandemic and resulting stay-at-home orders since March 2020 have come at a high cost to lives and livelihoods around the globe including ways in which faith communities meet. This paper forms part of a wider study Exploring hope, grace, and resilience in parish communities in COVID-19 times. It investigates how members of Christian faith communities in Melbourne (Australia) made meaning of their understanding of hope during the pandemic. The authors draw on survey data gathered between November 2021 and mid-March 2022 and using thematic analysis they discuss two overarching themes (Light despite the darkness and Connection to God). While generalisations to other faith communities cannot be made, the findings indicate churches fostered hope and offered a sense of belonging. The paper discusses implications for ways in which churches can continue to build faith with church members and the wider community in the changing landscape of the pandemic.
"
26,"This essay represents the first formal attempt to identify themes of theosis within the Ethiopian Orthodox Taw???do Church (EOTC). The first half explores four historical phases in the development of the doctrine of theosis: Ancient Pagan, Biblical, Patristic, and Medieval and Modern. It is argued that theosis finds strong support in the biblical corpus but that it is best to clarify which historical type one has in view due to its complex development. The second half of the paper considers themes of theosis within three genres of Ethiopic literature: Hagiography, Liturgy, and National Epic. New discoveries and insights are leveraged in order to demonstrate that although theosis lacks a precise equivalent in Classical Ethiopic, the literature of the EOTC demonstrates a strong familiarity with the basic contours of the doctrine of deification.
"
27,"Putting feelings into words, or affect labeling, can attenuate our emotional experiences. However, unlike explicit emotion regulation techniques, affect labeling may not even feel like a regulatory process as it occurs. Nevertheless, research investigating affect labeling has found it produces a pattern of effects like those seen during explicit emotion regulation, suggesting affect labeling is a form of implicit emotion regulation. In this review, we will outline research on affect labeling, comparing it to reappraisal, a form of explicit emotion regulation, along four major domains of effectsexperiential, autonomic, neural, and behavioralthat establish it as a form of implicit emotion regulation. This review will then speculate on possible mechanisms driving affect labeling effects and other remaining unanswered questions.
"
28,"The nature of envy has recently been the subject of a heated debate. Some researchers see envy as a complex, yet unitary construct that despite being hostile in nature can lead to both hostile and nonhostile reactions. Others offer a dual approach to envy, in which envys outcomes reflect two types of envy: benign envy, involving upward motivation, and malicious envy, involving hostility against superior others. We compare these competing conceptualizations of envy in an adversarial (yet collaborative) review. Our goal is to aid the consumers of envy research in navigating the intricacies of this debate. We identify agreements and disagreements and describe implications for theory, methodology, and measurement, as well as challenges and opportunities for future work.
"
29,"Researchers have proposed that blocking facial feedback via glabellar-region botulinum toxin injections (GBTX) can reduce depression. Random-effects meta-analyses of studies that administered GBTX to individuals with depression indicate that, 6 weeks postintervention, GBTX groups were significantly less depressed compared to placebo groups (d = 0.83) and pretreatment levels (d = 1.57). However, we noted the following concerns: (a) effect sizes were extraordinarily large, (b) authors failed to provide information to compute 51% of relevant effect sizes, (c) 96% of effect sizes came from studies conducted by investigators with conflicts of interest, (d) there is some evidence of publication bias, and (e) studies used ineffective blinding procedures. These considerations suggest that confidence in GBTX as a treatment for depression is premature.
"
30,"This article examines whether the Resale Royalty Right for Visual Artists Act 2009 (Cth) provides adequate protections for artists working with non-fungible tokens (NFTs). Focussing on Indigenous Australian artists and the context within which they work, the article assesses whether smart contracts embedded in NFTs provide more secure access to royalties for visual artists, as compared with the Act. The article then considers how the Act can be reformed to provide more comprehensive protections that meet the needs of Indigenous Australian artists working with NFTs.
"
31,"This article explores how the economic impacts of violence can continue long after a relationship has ended and how the family law system is a generally unhelpful tool for financial recovery from abuse. Hurdles in the legal system such as the unavailability of legal aid and the absence of affordable legal representation, lack of legislative reforms in relation to property division in cases of violence, and difficulties in enforcing orders, compound experiences of violence and entrench poverty. Reforms to improve the family law property system for victims of violence are suggested.
"
32,"This article discusses the recent repeal of the death penalty in Papua New Guinea and examines some potential implications for considerations to decriminalise same-sex sexual activity and sex work in the country. It considers that, while the repeal of the death penalty was a significant milestone for human rights domestically and internationally, the dominance of Christian morals evident in propelling the repeal deepens the challenge for law reform on issues of moral bearing, most notably the decriminalisation of same-sex sexual activity and sex work. The article further analyses the political conditions to conclude that for those considering law reform, there may be better prospects through the Supreme Court by way of a constitutional validity challenge than through the Parliament.
"
33,"For more than half a century, Australian states and territories have criminalised the distinct offence of inciting another person to commit suicide. The maximum penalties for these offences vary and require the accused to have intended that the victim would commit suicide. In contrast, the offence of involuntary manslaughter does not require such an intention. Instead, a charge of manslaughter requires that the accused acted in a conscious and voluntary way that caused the victims death, and that their conduct was either criminally negligent or unlawful and dangerous. Drawing on cases from the United States and United Kingdom, this article suggests that in appropriate circumstances in Australia, especially in the context of family violence, offenders should be held criminally liable for manslaughter if they cause another person to commit suicide.
"
34,"This article explores how the economic impacts of violence can continue long after a relationship has ended and how the family law system is a generally unhelpful tool for financial recovery from abuse. Hurdles in the legal system such as the unavailability of legal aid and the absence of affordable legal representation, lack of legislative reforms in relation to property division in cases of violence, and difficulties in enforcing orders, compound experiences of violence and entrench poverty. Reforms to improve the family law property system for victims of violence are suggested.
"
35,"The presumption of doli incapax is a legal safeguard for children who contravene the criminal law. Four distinct thresholds emerge from the application of doli incapax across the Australian jurisdictions: actual knowledge that the offending conduct was seriously wrong; actual knowledge that the offending conduct was wrong; capacity to know that the offending conduct should not occur; and capacity to know that the offending conduct was seriously wrong. This article explores differences in the four doli incapax thresholds and suggests a uniform approach to the presumption is required to correct the jurisdictional inconsistency.
"
36,"The decision of the Supreme Court of Nigeria in Benjamin v Kalio has been praised. However, the route taken by the Court to do justice and its implication have never been considered. This article examines the route through which the Supreme Court of Nigeria arrived at justice in this case. The article finds that the Supreme Court of Nigeria overruled its previous judgments by holding that unregistered land instruments could be tendered in evidence because section 20 of the Land Instruments (Preparation and Registration) Law of Rivers State is unconstitutional for not being within the legislative competence of States. The article argues that this is a simplistic route to justice having not taken cognisance of the Nigerian federalism and the concepts of existing and deemed laws with the probable consequence of rendering such laws on presumptions as section 30 of the Criminal Code and section 50 of the Penal Code null and void. The article concludes that this tends to constitute a pitfall.
"
37,"In considering the protection of fundamental rights in Hong Kong, the Basic Law and the Bill of Rights Ordinance (Cap 383) (BORO) tend to be the dual focus. However, common law principles protective of fundamental rights continue to apply. These include principles of statutory interpretation such as the principle of legality (the presumption that general or ambiguous words in legislation are insufficient to interfere with certain common law rights) and the presumption that legislation is to be interpreted consistently with international treaties. This article considers the role of these common law interpretive principles in Hong Kong, and, in particular, the scope for their application in light of the Basic Law and the BORO. It concludes that the protection of fundamental rights in Hong Kong will continue to focus on the Basic Law and the BORO for so long as the current constitutional arrangements persist. However, the courts ought to take care to pay due regard to the relevant common law interpretive principles, including the stringency of the test of necessary implication where a statutory interference with rights is not express, and the potential for the International Covenant on Economic, Social and Cultural Rights to be relevant to statutory interpretation.
"
38,"The common law on vicarious liability is unsatisfactory because the doctrine is couched at such a high level of generality that it cannot yield predictable results when applied to a given fact situation. This paper is an attempt to inject some precision into the doctrine. It examines and rejects three justifications for the doctrine: effective compensation/risk spreading, deterrence and certain theories related to quid pro quo. It then proposes the most suitable justification for the doctrine: vicarious liability is imposed because and when the defendant, by placing the tortfeasor in the position in its organisation that it did with that position's accompanying privileges and demands, had created or significantly enhanced the risk of the claimants injury. Three implications follow from this justification: (1) there is no vicarious liability for the wrongful acts of independent contractors; (2) agency reasoning should be rejected; and (3) we should stop using the phrase enterprise-risk approach.
"
39,"This paper considers how three jurisdictions, Canada, the United States and the United Kingdom, have sought to reconcile freedom of religion with equality rights, particularly in the commercial context, and particularly in relation to sexual orientation. The recent decisions of the United Kingdom Supreme Court and United States Supreme Court form the backdrop for that discussion. It is argued that the former made piecemeal, and misleading, use of American case law, and a fuller consideration of that jurisdictions position was warranted, and would have led to a different view of the recent American decision. It argues that the United Kingdom Supreme Court was in error in viewing a message on a cake ordered from a baker as an example of the baker's expression, leading it to an incorrect conclusion at odds with statutory mandates in the commercial sphere around refusals of service. Both high court decisions risk undermining progress on the equality front.
"
40,"It is commonly understood that contract law and property law are different areas of law which address different issues. This article departs from this conventional position in a rather radical way by arguing that the conclusion, amendment, and termination of contracts are in fact property law transactions and that the strict divide between contract law and property law is therefore not justifiable. It demonstrates theoretical and practical implications as contract law must be redefined and aligned with the general property law framework to avoid inconsistencies and thus the violation of the notion of formal rationality.
"
41,"The difficulties in balancing judicial independence and accountability, the importance of formal processes around the investigation of judicial conduct, and the need for clarity on the respective roles of the branches of government under the separation of powers were all issues that were highlighted by the recent controversy surrounding the conduct of a Supreme Court Judge in Ireland. This article considers the detail of the controversy, in the context of the Irish system governing judicial discipline and removal, analyses certain problems underlined by the episode, and finally reflects on lessons that may be helpful for any jurisdiction grappling with the complex issues involving judicial discipline and removal.
"
42,"While it is true that the expanded use of health information and electronic health records (eHRs) can help deliver better healthcare, there remains the need to reconcile citizens legitimate concerns for privacy protection and confidentiality in the use of their personal health data, and the potential for violation of their privacy. Under the Hong Kongs Electronic Health Record Sharing System (eHRSS), the eHR of the individual patient can be accessed and shared between healthcare providers for healthcare-related purposes. Although the Electronic Health Record Sharing System Ordinance (Cap 625) (the eHRSSO) and the Personal Data (Privacy) Ordinance (Cap 486) (the PD(P)O) provide protection for personal data and patients privacy, the eHRSS has come under greater scrutiny given the rise in data breaches experienced globally and in Hong Kong. The articles objective is twofold. It first examines the eHRSS specifically with regard to some of the more pertinent provisions of the eHRSSO and the PD(P)O, to critically evaluate the extent to which these provisions ensure and protect patient privacy. Thence it offers suggestions and recommendations as to how protection for patient privacy can be enhanced and, indeed, altogether better ensured.
"
43,"Media is often termed as the fourth pillar of India; it is an indispensable part in keeping democracy alive and reaching out to the masses. The media plays an instrumental role in educating and delivering the truth to people. However, in recent times, the media has exceeded its role by bringing its lens into the courtrooms and setting up its own trials, parallelly. The transition from responsible reporting to investigating various high-profile cases or cases of infamous crimes has made the media trial a common practice. From aiming to grab the highest television rating points to trying to stay relevant in the changing times, the media has overstepped its own boundary. The unconscious transition in its role has not only interfered with the fair administration of justice but also pressurised the judiciary to act in a certain way. It has, also, hampered the fundamental and constitutional rights of both the accused and the victim of a crime. The courts have always, unfailingly, guarded the freedom of press, and they continue to do so. However, the judiciary sensed trouble in certain cases when the media began to deliver its own verdict before the evidence was verified or the guilt proved. It is here that the need to demarcate a line arose in order to ensure the media remains well within its job of fair reporting. In an attempt to contain this adverse effect of the media, the legislature and the judiciary have attempted to frame rules and guidelines to that effect. This article attempts to discuss the various facets of media trials and the laws pertaining to them.
"
44,"The meteoric rise of the digital platforms and their increasing dominance can be easily considered the highlight of the latter half of the previous decade. Even though antitrust laws do apply to such online markets, the determination of the competitive strength of in these digital markets was often determined by the quantum of data accumulated by the entities. The article is an attempt by the authors to evaluate the feasibility of applicability of the existing competition law framework to the growing platform economies and the resultant implications of personal data being collected by such entities. For this research, the authors have outlined three specific questions. First, what is the inter-relation between the growing platform economy and merger control regime of a country? Second, what are the possible avenues of concerns that may arise due to collection of personal data? Finally, what are the possible enforcement challenges that would hamper the applicability of existing competition regimes to the digital platforms? The research is doctrinal research, and the authors have adopted a comparative-analytical research methodology for evaluating the above-mentioned research questions. The authors have considered the jurisdictions of the EU and India as the geographical scope for the research. The authors consider the following upon the conclusion of the study. First, the use and access of this data after the merger with companies with low turnover confer the acquiring enterprise a market power by which it can have an edge over its competitors in the market which will ultimately harm the competition in the market. Second, the digital market is data-driven; hence, collection of copious amounts of data places the big-tech players in a position of control, allowing them to indulge in exclusionary and exploitative conduct. Third, the assessment basis of combinations, more specifically in cases of data-based entities within the competition law, needs a serious re-assessment to include data within the scope of assessment as it is the primary asset in such cases.
"
45,"This case note reports on the judgment of the Court of Justice in case C-673/20 EP. The decision clarified that British nationals lost their EU citizenship status following the UK's withdrawal from the Union. After giving an overview of the facts of the case and summarizing the opinion of AG Collins and the Court's reasoning, this contribution critically engages with the judgment and reflects on its place in the Court's jurisprudence on Union citizenship.
"
